"gene";"pathway"
"ABI1";"Adhesion/Migration"
"ABL1";"Others "
"ABRAXAS1";"Others "
"ACKR3";"Others "
"ACSL3";"Others "
"ACSL6";"Others "
"ACTB";"Others "
"ADGRA2";"Others "
"AFDN";"Others "
"AFF1";"Others "
"AFF4";"Others "
"AGO2";"Others "
"AJUBA";"Hippo signaling pathway"
"AKT1";"PI3K"
"AKT2";"PI3K"
"ALB";"Others "
"ALK";"RTK/RAS"
"ALOX12B";"Others "
"AMER1";"Wnt Signaling Pathway "
"ANKRD11";"Others "
"APC";"Wnt Signaling Pathway "
"APOBEC3B";"Others "
"AR";"Transcription factor-regulator "
"ARAF";"MAPK"
"ARHGAP26";"MAPK"
"ARHGAP35";"MAPK"
"ARHGEF12";"MAPK"
"ARHGEF28";"MAPK"
"ARID1A";"Epigenetics "
"ARID1B";"Epigenetics "
"ARID2";"Epigenetics "
"ARID3A";"Epigenetics "
"ARID3C";"Epigenetics "
"ARID4A";"Epigenetics "
"ARID4B";"Epigenetics "
"ARID5A";"Epigenetics "
"ARID5B";"Epigenetics "
"ASXL1";"DNA repair "
"ASXL2";"DNA repair "
"ATG5";"Others "
"ATIC";"Others "
"ATM";"DNA repair "
"ATP1A1";"Others "
"ATP6V1B2";"Others "
"ATR";"DNA repair "
"ATRX";"Chromatin organization "
"ATXN2";"Others "
"AURKA";"Cell cycle "
"AURKB";"Cell cycle "
"AXIN1";"Wnt Signaling Pathway "
"AXIN2";"Wnt Signaling Pathway "
"AXL";"RTK/RAS"
"BABAM1";"Others "
"BACH2";"Others "
"BAP1";"DNA repair "
"BARD1";"DNA repair "
"BCL10";"Immunity "
"BCL11B";"Apoptosis "
"BCL2";"Apoptosis "
"BCL2L1";"Apoptosis "
"BCL2L11";"Apoptosis "
"BCL3";"Apoptosis "
"BCL6";"Transcription factor-regulator "
"BCL9L";"Apoptosis "
"BCOR";"Transcription factor-regulator "
"BCR";"Others "
"BLM";"DNA repair "
"BMPR1A";"TGF-beta"
"BRAF";"RTK/RAS"
"BRCA1";"DNA repair "
"BRCA2";"DNA repair "
"BRD4";"Epigenetics "
"BRIP1";"DNA repair "
"BRSK1";"Others "
"BTK";"RTK/RAS"
"CACNA1D";"Others "
"CALR";"Proteins Processing"
"CARD11";"Immunity "
"CARM1";"Epigenetics "
"CASP8";"Apoptosis "
"CBFA2T3";"Others "
"CBFB";"Transcription factor-regulator "
"CBL";"Immunity "
"CBLB";"Immunity "
"CBLC";"RTK/RAS"
"CCDC6";"Others "
"CCN6";"Others "
"CCNB3";"Cell cycle "
"CCND1";"Cell cycle "
"CCNE1";"Cell cycle "
"CD22";"Others "
"CD274";"Immunity "
"CD58";"Immunity "
"CD70";"Immunity "
"CD74";"Others "
"CD79A";"Immunity "
"CDC42";"Cell cycle "
"CDC73";"Others "
"CDH1";"Adhesion/Migration"
"CDH11";"Adhesion/Migration"
"CDK12";"DNA repair "
"CDK8";"Transcription factor-regulator "
"CDKN1B";"Cell cycle "
"CDKN2A";"Cell cycle "
"CDX2";"Others "
"CHD4";"DNA repair "
"CHEK1";"DNA repair "
"CHEK2";"DNA repair "
"CHIC2";"Others "
"CHN1";"Others "
"CIC";"Others "
"CIITA";"Immunity "
"CILK1";"Others "
"CLTCL1";"Others "
"CMTR2";"Others "
"CNOT3";"Others "
"CPS1";"Others "
"CRBN";"Others "
"CREBBP";"Epigenetics "
"CRKL";"MAPK"
"CRTC1";"Others "
"CSDE1";"Others "
"CSF1R";"Immunity "
"CSF3R";"Immunity "
"CTCF";"Transcription factor-regulator "
"CTNNA1";"Wnt Signaling Pathway "
"CTNNB1";"Wnt Signaling Pathway "
"CTR9";"Others "
